i,identity,drop_stage,drop_detail,gt_text,plate_entry,ocr_raw,n_faces_entry,entry_rid_code,n_faces_exit,rid,matched_rid,match_sim,plate_img,probe_img
58,Javier_Weber,,,49F108660,49F1-08660,49F108660,1,19975,1,19975,19975,0.5231003761291504,yolo_plate_ocr_data/images/val/2xemay2141.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Javier_Weber/Javier_Weber_0003.jpg
59,Richard_Virenque,,,59C148275,59C1-48275,59C148275,1,19976,1,19976,19976,0.3566485047340393,yolo_plate_ocr_data/images/val/6xemay433.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Richard_Virenque/Richard_Virenque_0003.jpg
60,Lance_Bass,,,51L33664,51L-33664,51L33664,1,19977,1,19977,19977,0.5462164282798767,yolo_plate_ocr_data/images/val/5xemay342.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Lance_Bass/Lance_Bass_0004.jpg
61,Britney_Spears,,,70EA00557,70EA-00657,70EA00657,1,19978,1,19978,19978,0.5824166536331177,yolo_plate_ocr_data/images/val/2xemay390.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Britney_Spears/Britney_Spears_0004.jpg
62,Jimmy_Kimmel,,,53R50201,53R-50201,53R50201,1,19979,1,19979,19979,0.6152002811431885,yolo_plate_ocr_data/images/val/2xemay2333.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jimmy_Kimmel/Jimmy_Kimmel_0001.jpg
63,Justin_Guarini,,,59U166141,59U1-66141,59U166141,1,19980,1,19980,19980,0.4459877014160156,yolo_plate_ocr_data/images/val/5xemay182.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Justin_Guarini/Justin_Guarini_0003.jpg
64,Nelson_Mandela,,,59X149369,59X1-49369,59X149369,1,19981,1,19981,19981,0.6862181425094604,yolo_plate_ocr_data/images/val/5xemay453.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Nelson_Mandela/Nelson_Mandela_0002.jpg
65,Ricky_Martin,,,67B140833,67B1-40833,67B140833,1,19982,1,19982,19982,0.5206156373023987,yolo_plate_ocr_data/images/val/6xemay223.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ricky_Martin/Ricky_Martin_0002.jpg
66,Lili_Taylor,,,59E142530,59E1-42530,59E142530,1,19983,1,19983,19983,0.5150406360626221,yolo_plate_ocr_data/images/val/3xemay692.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Lili_Taylor/Lili_Taylor_0001.jpg
67,Prince_William,,,52P50334,52P-50334,52P50334,1,19984,1,19984,19984,0.5922121405601501,yolo_plate_ocr_data/images/val/6xemay99.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Prince_William/Prince_William_0002.jpg
68,Aaron_Peirsol,,,59K190300,59K1-90300,59K190300,1,19985,1,19985,19985,0.7696031332015991,yolo_plate_ocr_data/images/val/2xemay2162.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Aaron_Peirsol/Aaron_Peirsol_0002.jpg
69,Antony_Leung,,,54U24957,54U-24957,54U24957,1,19986,1,19986,19986,0.6185852289199829,yolo_plate_ocr_data/images/val/7xemay1650.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Antony_Leung/Antony_Leung_0004.jpg
70,Tom_Jones,,,59M156378,59M1-56378,59M156378,1,19987,1,19987,19987,0.5970473289489746,yolo_plate_ocr_data/images/val/2xemay2108.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Tom_Jones/Tom_Jones_0002.jpg
71,Mack_Brown,,,51F16159,51F-16159,51F16159,1,19988,1,19988,19988,0.511928915977478,yolo_plate_ocr_data/images/val/6CarLongPlate687.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mack_Brown/Mack_Brown_0001.jpg
72,Carlos_Ortega,,,54L36961,54L-36961,54L36961,1,19989,1,19989,19989,0.5953446626663208,yolo_plate_ocr_data/images/val/8xemay739.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Carlos_Ortega/Carlos_Ortega_0001.jpg
73,Dennis_Kucinich,,,54P46793,54P-46793,54P46793,1,19990,1,19990,19990,0.6377131938934326,yolo_plate_ocr_data/images/val/3xemay1669.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Dennis_Kucinich/Dennis_Kucinich_0005.jpg
74,Arnoldo_Aleman,,,59V245387,59V2-45387,59V245387,1,19991,1,19991,19991,0.7543030381202698,yolo_plate_ocr_data/images/val/3xemay707.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Arnoldo_Aleman/Arnoldo_Aleman_0003.jpg
75,Uma_Thurman,,,59H167791,59H1-67791,59H167791,1,19992,1,19992,19992,0.5774915814399719,yolo_plate_ocr_data/images/val/3xemay663.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Uma_Thurman/Uma_Thurman_0003.jpg
76,Sean_Astin,,,60B523822,60B5-23822,60B523822,1,19993,1,19993,19993,0.5890825390815735,yolo_plate_ocr_data/images/val/2xemay1952.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sean_Astin/Sean_Astin_0001.jpg
77,Pascal_Lamy,,,59L227345,59L2-27345,59L227345,1,19994,1,19994,19994,0.6481413841247559,yolo_plate_ocr_data/images/val/7xemay1664.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Pascal_Lamy/Pascal_Lamy_0001.jpg
78,Mike_Myers,,,59T108264,59T1-08264,59T108264,1,19995,1,19995,19995,0.6213347315788269,yolo_plate_ocr_data/images/val/5xemay4.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mike_Myers/Mike_Myers_0002.jpg
79,Queen_Rania,,,68X121002,68X1-21002,68X121002,1,19996,1,19996,19996,0.5268362760543823,yolo_plate_ocr_data/images/val/4xemay2408.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Queen_Rania/Queen_Rania_0004.jpg
80,James_Kelly,entry_ocr_invalid,raw='51I23882' gt='99L123882',99L123882,,51I23882,,,,,,,yolo_plate_ocr_data/images/val/5xemay1347.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/James_Kelly/James_Kelly_0003.jpg
81,Butch_Davis,,,59C168612,59C1-68612,59C168612,1,19997,1,19997,19997,0.6742485761642456,yolo_plate_ocr_data/images/val/5xemay2384.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Butch_Davis/Butch_Davis_0002.jpg
82,Kathy_Winters,,,59K122599,59K1-22599,59K122599,1,19998,1,19998,19998,0.858450174331665,yolo_plate_ocr_data/images/val/3xemay898.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Kathy_Winters/Kathy_Winters_0001.jpg
83,Andrew_Cuomo,,,59T156987,59T1-56987,59T156987,1,19999,1,19999,19999,0.5308797359466553,yolo_plate_ocr_data/images/val/2xemay2063.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Andrew_Cuomo/Andrew_Cuomo_0002.jpg
84,Li_Zhaoxing,,,61C106403,61C1-06403,61C106403,1,20000,1,20000,20000,0.7522103190422058,yolo_plate_ocr_data/images/val/6xemay243.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Li_Zhaoxing/Li_Zhaoxing_0003.jpg
85,Lord_Hutton,,,93P117409,93P1-17409,93P117409,1,20001,1,20001,20001,0.7352052927017212,yolo_plate_ocr_data/images/val/6xemay334.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Lord_Hutton/Lord_Hutton_0002.jpg
86,Kathryn_Bigelow,,,51A89714,51A-89714,51A89714,1,20002,1,20002,20002,0.3863518536090851,yolo_plate_ocr_data/images/val/3CarLongPlate461.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Kathryn_Bigelow/Kathryn_Bigelow_0002.jpg
87,Amanda_Bynes,,,51G51008,51G-51008,51G51008,1,20003,1,20003,20003,0.46694549918174744,yolo_plate_ocr_data/images/val/6CarLongPlate470.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Amanda_Bynes/Amanda_Bynes_0001.jpg
88,Sergio_Garcia,,,51G10096,51G-10096,51G10096,1,20004,1,20004,20004,0.6512792110443115,yolo_plate_ocr_data/images/val/4CarLongPlate0.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sergio_Garcia/Sergio_Garcia_0001.jpg
89,Luiz_Inacio_Lula_da_Silva,,,59E134192,59E1-34192,59E134192,1,20005,1,20005,20005,0.6180003881454468,yolo_plate_ocr_data/images/val/4xemay2210.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Luiz_Inacio_Lula_da_Silva/Luiz_Inacio_Lula_da_Silva_0012.jpg
90,Ranil_Wickremasinghe,,,59X137438,59X1-37438,59X137438,1,20006,1,20006,20006,0.4789659380912781,yolo_plate_ocr_data/images/val/5xemay695.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ranil_Wickremasinghe/Ranil_Wickremasinghe_0002.jpg
91,Mahathir_Mohamad,,,68H74213,68H-74213,68H74213,1,20007,1,20007,20007,0.44069480895996094,yolo_plate_ocr_data/images/val/1xemay2218.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mahathir_Mohamad/Mahathir_Mohamad_0012.jpg
92,Colin_Farrell,,,68X121002,68X1-21002,68X121002,1,20008,1,20008,20008,0.5748369693756104,yolo_plate_ocr_data/images/val/3xemay698.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Colin_Farrell/Colin_Farrell_0002.jpg
93,Eric_Rosser,,,1F57493,41F-57493,41F57493,1,20009,1,20009,20009,0.7526544332504272,yolo_plate_ocr_data/images/val/5CarLongPlate310.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Eric_Rosser/Eric_Rosser_0002.jpg
94,Jean_Brumley,,,51A65474,51A-65474,51A65474,1,20010,1,20010,20010,0.7906132340431213,yolo_plate_ocr_data/images/val/4CarLongPlate112.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jean_Brumley/Jean_Brumley_0001.jpg
95,Rudolph_Giuliani,,,59T166153,59T1-66153,59T166153,1,20011,1,20011,20011,0.5258458852767944,yolo_plate_ocr_data/images/val/5xemay628.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Rudolph_Giuliani/Rudolph_Giuliani_0003.jpg
96,Wang_Yi,,,51L38385,51L-38385,51L38385,1,20012,1,20012,20012,0.7354650497436523,yolo_plate_ocr_data/images/val/1xemay808.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Wang_Yi/Wang_Yi_0001.jpg
97,Mitchell_Daniels,,,59F123865,59F1-23865,59F123865,1,20013,1,20013,20013,0.7014049291610718,yolo_plate_ocr_data/images/val/1xemay2070.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mitchell_Daniels/Mitchell_Daniels_0003.jpg
98,Tiger_Woods,,,59C251109,59C2-51109,59C251109,1,20014,1,20014,20014,0.5937769412994385,yolo_plate_ocr_data/images/val/3xemay13.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Tiger_Woods/Tiger_Woods_0004.jpg
99,Chris_Cooper,,,71H19657,71H-19657,71H19657,1,20015,1,20015,20015,0.7124366164207458,yolo_plate_ocr_data/images/val/5xemay2181.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Chris_Cooper/Chris_Cooper_0001.jpg
100,John_Stockton,,,60FL7420,60FL-7420,60FL7420,1,20016,1,20016,20016,0.4978884160518646,yolo_plate_ocr_data/images/val/5xemay916.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/John_Stockton/John_Stockton_0004.jpg
101,Muhammad_Ali,,,59U157674,59U1-57674,59U157674,1,20017,1,20017,20017,0.5489193797111511,yolo_plate_ocr_data/images/val/5xemay550.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Muhammad_Ali/Muhammad_Ali_0010.jpg
